"year_month","month_of_release","passenger_type","direction","sex","age","estimate","standard_error","status"
"2001-01","2020-09","Long-term migrant","Arrivals","Female","0-4 years",344,0,"Final"
"2001-02","2020-09","Long-term migrant","Arrivals","Female","0-4 years",269,0,"Final"
"2001-03","2020-09","Long-term migrant","Arrivals","Female","0-4 years",239,0,"Final"
"2001-04","2020-09","Long-term migrant","Arrivals","Female","0-4 years",233,0,"Final"
"2001-05","2020-09","Long-term migrant","Arrivals","Female","0-4 years",206,0,"Final"
"2001-06","2020-09","Long-term migrant","Arrivals","Female","0-4 years",253,0,"Final"
"2001-07","2020-09","Long-term migrant","Arrivals","Female","0-4 years",242,0,"Final"
"2001-08","2020-09","Long-term migrant","Arrivals","Female","0-4 years",255,0,"Final"
"2001-09","2020-09","Long-term migrant","Arrivals","Female","0-4 years",296,0,"Final"
"2001-10","2020-09","Long-term migrant","Arrivals","Female","0-4 years",296,0,"Final"
"2001-11","2020-09","Long-term migrant","Arrivals","Female","0-4 years",367,0,"Final"
"2001-12","2020-09","Long-term migrant","Arrivals","Female","0-4 years",385,0,"Final"
"2002-01","2020-09","Long-term migrant","Arrivals","Female","0-4 years",330,0,"Final"
"2002-02","2020-09","Long-term migrant","Arrivals","Female","0-4 years",303,0,"Final"
"2002-03","2020-09","Long-term migrant","Arrivals","Female","0-4 years",314,0,"Final"
"2002-04","2020-09","Long-term migrant","Arrivals","Female","0-4 years",259,0,"Final"
"2002-05","2020-09","Long-term migrant","Arrivals","Female","0-4 years",258,0,"Final"
"2002-06","2020-09","Long-term migrant","Arrivals","Female","0-4 years",251,0,"Final"
"2002-07","2020-09","Long-term migrant","Arrivals","Female","0-4 years",272,0,"Final"
"2002-08","2020-09","Long-term migrant","Arrivals","Female","0-4 years",323,0,"Final"
"2002-09","2020-09","Long-term migrant","Arrivals","Female","0-4 years",328,0,"Final"
"2002-10","2020-09","Long-term migrant","Arrivals","Female","0-4 years",338,0,"Final"
"2002-11","2020-09","Long-term migrant","Arrivals","Female","0-4 years",383,0,"Final"
"2002-12","2020-09","Long-term migrant","Arrivals","Female","0-4 years",416,0,"Final"
"2003-01","2020-09","Long-term migrant","Arrivals","Female","0-4 years",389,0,"Final"
"2003-02","2020-09","Long-term migrant","Arrivals","Female","0-4 years",289,0,"Final"
"2003-03","2020-09","Long-term migrant","Arrivals","Female","0-4 years",341,0,"Final"
"2003-04","2020-09","Long-term migrant","Arrivals","Female","0-4 years",244,0,"Final"
"2003-05","2020-09","Long-term migrant","Arrivals","Female","0-4 years",248,0,"Final"
"2003-06","2020-09","Long-term migrant","Arrivals","Female","0-4 years",290,0,"Final"
"2003-07","2020-09","Long-term migrant","Arrivals","Female","0-4 years",294,0,"Final"
"2003-08","2020-09","Long-term migrant","Arrivals","Female","0-4 years",297,0,"Final"
"2003-09","2020-09","Long-term migrant","Arrivals","Female","0-4 years",323,0,"Final"
"2003-10","2020-09","Long-term migrant","Arrivals","Female","0-4 years",252,0,"Final"
"2003-11","2020-09","Long-term migrant","Arrivals","Female","0-4 years",351,0,"Final"
"2003-12","2020-09","Long-term migrant","Arrivals","Female","0-4 years",360,0,"Final"
"2004-01","2020-09","Long-term migrant","Arrivals","Female","0-4 years",366,0,"Final"
"2004-02","2020-09","Long-term migrant","Arrivals","Female","0-4 years",283,0,"Final"
"2004-03","2020-09","Long-term migrant","Arrivals","Female","0-4 years",277,0,"Final"
"2004-04","2020-09","Long-term migrant","Arrivals","Female","0-4 years",218,0,"Final"
"2004-05","2020-09","Long-term migrant","Arrivals","Female","0-4 years",246,0,"Final"
"2004-06","2020-09","Long-term migrant","Arrivals","Female","0-4 years",237,0,"Final"
"2004-07","2020-09","Long-term migrant","Arrivals","Female","0-4 years",264,0,"Final"
"2004-08","2020-09","Long-term migrant","Arrivals","Female","0-4 years",259,0,"Final"
"2004-09","2020-09","Long-term migrant","Arrivals","Female","0-4 years",304,0,"Final"
"2004-10","2020-09","Long-term migrant","Arrivals","Female","0-4 years",279,0,"Final"
"2004-11","2020-09","Long-term migrant","Arrivals","Female","0-4 years",283,0,"Final"
"2004-12","2020-09","Long-term migrant","Arrivals","Female","0-4 years",421,0,"Final"
"2005-01","2020-09","Long-term migrant","Arrivals","Female","0-4 years",335,0,"Final"
"2005-02","2020-09","Long-term migrant","Arrivals","Female","0-4 years",288,0,"Final"
"2005-03","2020-09","Long-term migrant","Arrivals","Female","0-4 years",253,0,"Final"
"2005-04","2020-09","Long-term migrant","Arrivals","Female","0-4 years",265,0,"Final"
"2005-05","2020-09","Long-term migrant","Arrivals","Female","0-4 years",239,0,"Final"
"2005-06","2020-09","Long-term migrant","Arrivals","Female","0-4 years",258,0,"Final"
"2005-07","2020-09","Long-term migrant","Arrivals","Female","0-4 years",243,0,"Final"
"2005-08","2020-09","Long-term migrant","Arrivals","Female","0-4 years",291,0,"Final"
"2005-09","2020-09","Long-term migrant","Arrivals","Female","0-4 years",324,0,"Final"
"2005-10","2020-09","Long-term migrant","Arrivals","Female","0-4 years",264,0,"Final"
"2005-11","2020-09","Long-term migrant","Arrivals","Female","0-4 years",304,0,"Final"
"2005-12","2020-09","Long-term migrant","Arrivals","Female","0-4 years",384,0,"Final"
"2006-01","2020-09","Long-term migrant","Arrivals","Female","0-4 years",372,0,"Final"
"2006-02","2020-09","Long-term migrant","Arrivals","Female","0-4 years",253,0,"Final"
"2006-03","2020-09","Long-term migrant","Arrivals","Female","0-4 years",294,0,"Final"
"2006-04","2020-09","Long-term migrant","Arrivals","Female","0-4 years",261,0,"Final"
"2006-05","2020-09","Long-term migrant","Arrivals","Female","0-4 years",241,0,"Final"
"2006-06","2020-09","Long-term migrant","Arrivals","Female","0-4 years",275,0,"Final"
"2006-07","2020-09","Long-term migrant","Arrivals","Female","0-4 years",290,0,"Final"
"2006-08","2020-09","Long-term migrant","Arrivals","Female","0-4 years",298,0,"Final"
"2006-09","2020-09","Long-term migrant","Arrivals","Female","0-4 years",358,0,"Final"
"2006-10","2020-09","Long-term migrant","Arrivals","Female","0-4 years",350,0,"Final"
"2006-11","2020-09","Long-term migrant","Arrivals","Female","0-4 years",338,0,"Final"
"2006-12","2020-09","Long-term migrant","Arrivals","Female","0-4 years",443,0,"Final"
"2007-01","2020-09","Long-term migrant","Arrivals","Female","0-4 years",381,0,"Final"
"2007-02","2020-09","Long-term migrant","Arrivals","Female","0-4 years",312,0,"Final"
"2007-03","2020-09","Long-term migrant","Arrivals","Female","0-4 years",281,0,"Final"
"2007-04","2020-09","Long-term migrant","Arrivals","Female","0-4 years",274,0,"Final"
"2007-05","2020-09","Long-term migrant","Arrivals","Female","0-4 years",244,0,"Final"
"2007-06","2020-09","Long-term migrant","Arrivals","Female","0-4 years",278,0,"Final"
"2007-07","2020-09","Long-term migrant","Arrivals","Female","0-4 years",270,0,"Final"
"2007-08","2020-09","Long-term migrant","Arrivals","Female","0-4 years",344,0,"Final"
"2007-09","2020-09","Long-term migrant","Arrivals","Female","0-4 years",370,0,"Final"
"2007-10","2020-09","Long-term migrant","Arrivals","Female","0-4 years",314,0,"Final"
"2007-11","2020-09","Long-term migrant","Arrivals","Female","0-4 years",371,0,"Final"
"2007-12","2020-09","Long-term migrant","Arrivals","Female","0-4 years",426,0,"Final"
"2008-01","2020-09","Long-term migrant","Arrivals","Female","0-4 years",334,0,"Final"
"2008-02","2020-09","Long-term migrant","Arrivals","Female","0-4 years",336,0,"Final"
"2008-03","2020-09","Long-term migrant","Arrivals","Female","0-4 years",320,0,"Final"
"2008-04","2020-09","Long-term migrant","Arrivals","Female","0-4 years",255,0,"Final"
"2008-05","2020-09","Long-term migrant","Arrivals","Female","0-4 years",284,0,"Final"
